id,bytes
1812,102100
1813,67217
1814,162208
1815,345521
1816,82233
1817,60919
1818,60415
1819,46964
1820,49977
1821,46940
1822,66130
1823,82649
1824,57672
1825,101096
1826,99794
1827,567802
1828,531031
1829,239692
1830,76290
1831,761957
1832,259406
1833,102778
1834,106634
1835,122937
1836,102382
1837,431701
1838,654694
1839,402984
1840,1153597
1841,77182
1842,580167
1843,207161
1844,347002
1845,484225
1846,431440
1847,81273
1848,825091
1849,467399
1850,129986
1851,392844
1852,469314
1853,404123
1854,686991
1855,93444
1856,656829
1857,510976
1858,432155
1859,210356
1860,1450722
1861,145481
1862,194370
1863,377894
1864,326352
1865,820247
1866,893910
1867,128342
1868,203026
1869,391766
1870,153608
1871,775028
1872,375519
1873,132086
1874,363331
1875,109399
1876,152446
1877,261738
1878,440377
1879,737043
1880,1032430
1881,447521
1882,294198
1883,455080
1884,89049
1885,457195
1886,494433
1887,432597
1888,362318
1889,438837
1890,76698
1891,64608
1892,43252
1893,256376
1894,530856
1895,1671349
1896,377945
1897,450034
1898,265249
1899,567242
19,189638
1900,690408
1901,255344
1902,97076
1903,225371
1904,183880
1905,306186
1906,472869
1907,155405
1908,213060
1909,1690585
1910,227226
1911,121150
1912,395422
1913,520207
1915,385244
1916,132575
1917,800668
1918,53849
1919,86347
1920,74274
1921,661133
1922,109793
1923,603787
1924,94449
1925,345451
1926,361818
1927,484560
1928,659630
1929,196893
1930,506214
1931,395517
1932,242565
1933,296046
1934,52627
1935,166014
1936,209988
1937,379769
1938,1027544
1939,824585
1940,59562
1941,488436
1942,670746
1943,256858
1944,439442
1945,188788
1946,1736823
1947,755032
1948,317013
1949,63669
1950,408828
1951,327196
1952,32008
1953,155330
1954,160122
1955,433630
1956,384423
1957,703265
1958,158016
1959,240063
1960,216732
1961,225284
1962,210617
1963,179572
1965,683565
1966,492916
1967,459714
1968,130050
1969,410404
1970,735343
1971,474460
1972,99932
1973,194953
1974,108334
1975,693414
1976,720761
1977,120276
1978,63269
1979,533943
1980,300797
1981,28388
1982,38354
1983,94761
